#Leapfrog 3D bezier polyline file (v1.2).
#Point X, Point Y, Point Z, Normal X, Normal Y, Normal Z, Control0 X, Control0 Y, Control0 Z, Control1 X, Control1 Y, Control1 Z, STangent X, STangent Y, STangent Z
421251.026523, 4391625.11122, 3714.79629151, None, None, None, 421251.026523, 4391625.11122, 3714.79629151, 421251.026523, 4391625.11122, 3714.79629151, 0, 0, 0
421252.802029, 4391627.86893, 3713.37326588, None, None, None, 421252.802029, 4391627.86893, 3713.37326588, 421252.802029, 4391627.86893, 3713.37326588, 0, 0, 0
421253.267752, 4391628.59228, 3713, None, None, None, 421253.267752, 4391628.59228, 3713, 421253.267752, 4391628.59228, 3713, 0, 0, 0
421256.750001, 4391634.00088, 3711.1393741, None, None, None, 421256.750001, 4391634.00088, 3711.1393741, 421256.750001, 4391634.00088, 3711.1393741, 0, 0, 0
421257.010846, 4391634.40602, 3710.89084633, None, None, None, 421257.010846, 4391634.40602, 3710.89084633, 421257.010846, 4391634.40602, 3710.89084633, 0, 0, 0
421257.17873, 4391634.66678, 3710.73089, None, None, None, 421257.17873, 4391634.66678, 3710.73089, 421257.17873, 4391634.66678, 3710.73089, 0, 0, 0
421260.75394, 4391640.21977, 3706.74337915, None, None, None, 421260.75394, 4391640.21977, 3706.74337915, 421260.75394, 4391640.21977, 3706.74337915, 0, 0, 0
421262.48911, 4391642.91482, 3704.80810465, None, None, None, 421262.48911, 4391642.91482, 3704.80810465, 421262.48911, 4391642.91482, 3704.80810465, 0, 0, 0
421263.330937, 4391644.22234, 3703.86919699, None, None, None, 421263.330937, 4391644.22234, 3703.86919699, 421263.330937, 4391644.22234, 3703.86919699, 0, 0, 0
421264.497033, 4391646.03351, 3701.81045881, None, None, None, 421264.497033, 4391646.03351, 3701.81045881, 421264.497033, 4391646.03351, 3701.81045881, 0, 0, 0
421266.308824, 4391648.84757, 3699.57982187, None, None, None, 421266.308824, 4391648.84757, 3699.57982187, 421266.308824, 4391648.84757, 3699.57982187, 0, 0, 0
421268.240127, 4391651.84725, 3697.40408802, None, None, None, 421268.240127, 4391651.84725, 3697.40408802, 421268.240127, 4391651.84725, 3697.40408802, 0, 0, 0
421269.483144, 4391653.77789, 3696.33583466, None, None, None, 421269.483144, 4391653.77789, 3696.33583466, 421269.483144, 4391653.77789, 3696.33583466, 0, 0, 0
421271.983221, 4391657.66099, 3695, None, None, None, 421271.983221, 4391657.66099, 3695, 421271.983221, 4391657.66099, 3695, 0, 0, 0
421272.176192, 4391657.96071, 3694.94844616, None, None, None, 421272.176192, 4391657.96071, 3694.94844616, 421272.176192, 4391657.96071, 3694.94844616, 0, 0, 0
421275.635351, 4391663.33345, 3694.02430183, None, None, None, 421275.635351, 4391663.33345, 3694.02430183, 421275.635351, 4391663.33345, 3694.02430183, 0, 0, 0
421275.726315, 4391663.47473, 3693.98521441, None, None, None, 421275.726315, 4391663.47473, 3693.98521441, 421275.726315, 4391663.47473, 3693.98521441, 0, 0, 0
421275.867648, 4391663.69425, 3693.9622417, None, None, None, 421275.867648, 4391663.69425, 3693.9622417, 421275.867648, 4391663.69425, 3693.9622417, 0, 0, 0
421279.469409, 4391669.28847, 3693, None, None, None, 421279.469409, 4391669.28847, 3693, 421279.469409, 4391669.28847, 3693, 0, 0, 0
421281.787558, 4391672.889, 3691.76137265, None, None, None, 421281.787558, 4391672.889, 3691.76137265, 421281.787558, 4391672.889, 3691.76137265, 0, 0, 0
421281.863273, 4391673.0066, 3691.74553063, None, None, None, 421281.863273, 4391673.0066, 3691.74553063, 421281.863273, 4391673.0066, 3691.74553063, 0, 0, 0
421283.212502, 4391675.10221, 3691.46323039, None, None, None, 421283.212502, 4391675.10221, 3691.46323039, 421283.212502, 4391675.10221, 3691.46323039, 0, 0, 0
